region,month,inflation,year,date
KAB KETAPANG,Maret,3.43,2026,3/1/2026
KAB KETAPANG,April,4.83,2026,4/1/2026
KAB KETAPANG,Mei,5.16,2026,5/1/2026
SINTANG,Januari,1.37,2026,1/1/2026
SINTANG,Februari,3.05,2026,2/1/2026
SINTANG,Maret,4.11,2026,3/1/2026
SINTANG,April,4.05,2026,4/1/2026
SINTANG,Mei,5.81,2026,5/1/2026
KAB KAYONG UTARA,Januari,1.56,2026,1/1/2026
KAB KAYONG UTARA,Februari,1,2026,2/1/2026
KAB KAYONG UTARA,Maret,2.12,2026,3/1/2026
KAB KAYONG UTARA,April,2.87,2026,4/1/2026
KAB KAYONG UTARA,Mei,4.46,2026,5/1/2026
KOTA PONTIANAK,Januari,1.33,2026,1/1/2026
KOTA PONTIANAK,Februari,2.41,2026,2/1/2026
KOTA PONTIANAK,Maret,2.03,2026,3/1/2026
KOTA PONTIANAK,April,2.75,2026,4/1/2026
KOTA PONTIANAK,Mei,5.02,2026,5/1/2026
KOTA SINGKAWANG,Januari,0.84,2026,1/1/2026
KOTA SINGKAWANG,Februari,1.29,2026,2/1/2026
KOTA SINGKAWANG,Maret,2.6,2026,3/1/2026
KOTA SINGKAWANG,April,4.19,2026,4/1/2026
KOTA SINGKAWANG,Mei,3.95,2026,5/1/2026
SAMPIT,Januari,0.85,2026,1/1/2026
SAMPIT,Februari,3.78,2026,2/1/2026
