commodity,year,month,price,date
Tepung Terigu Curah,2023,Mei,11216,5/1/2023
Tepung Terigu Kemasan,2023,Mei,13811,5/1/2023
Minyak Goreng Kemasan,2023,Mei,18198,5/1/2023
Minyak Goreng Curah,2023,Mei,15050,5/1/2023
Jagung Tk. Peternak,2023,Mei,6217,5/1/2023
Ikan Kembung,2023,Mei,40993,5/1/2023
Ikan Tongkol,2023,Mei,37221,5/1/2023
Ikan Bandeng,2023,Mei,35962,5/1/2023
Garam konsumsi,2023,Mei,11936,5/1/2023
Beras Premium,2023,Juni,13657,6/1/2023
Beras Medium,2023,Juni,11905,6/1/2023
Kedelai Biji Kering,2023,Juni,13057,6/1/2023
Bawang Merah,2023,Juni,38334,6/1/2023
Bawang Putih (Bonggol),2023,Juni,37832,6/1/2023
Cabai Merah Keriting,2023,Juni,38706,6/1/2023
Cabai Rawit Merah,2023,Juni,44801,6/1/2023
Daging Sapi Murni,2023,Juni,136314,6/1/2023
Daging Ayam Ras,2023,Juni,38607,6/1/2023
Telur Ayam Ras,2023,Juni,30636,6/1/2023
Gula Pasir Lokal/Curah,2023,Juni,14533,6/1/2023
Tepung Terigu Curah,2023,Juni,11151,6/1/2023
Tepung Terigu Kemasan,2023,Juni,13769,6/1/2023
Minyak Goreng Kemasan,2023,Juni,18072,6/1/2023
Minyak Goreng Curah,2023,Juni,14971,6/1/2023
Jagung Tk. Peternak,2023,Juni,6259,6/1/2023
Ikan Kembung,2023,Juni,40790,6/1/2023
Ikan Tongkol,2023,Juni,36868,6/1/2023
Ikan Bandeng,2023,Juni,35606,6/1/2023
Garam konsumsi,2023,Juni,11978,6/1/2023
Beras Premium,2023,Juli,13669,7/1/2023
Beras Medium,2023,Juli,11977,7/1/2023
Kedelai Biji Kering,2023,Juli,13098,7/1/2023
Bawang Merah,2023,Juli,35513,7/1/2023
Bawang Putih (Bonggol),2023,Juli,40433,7/1/2023
Cabai Merah Keriting,2023,Juli,41279,7/1/2023
Cabai Rawit Merah,2023,Juli,43276,7/1/2023
Daging Sapi Murni,2023,Juli,135789,7/1/2023
Daging Ayam Ras,2023,Juli,37898,7/1/2023
Telur Ayam Ras,2023,Juli,30943,7/1/2023
Gula Pasir Lokal/Curah,2023,Juli,14647,7/1/2023
Tepung Terigu Curah,2023,Juli,11126,7/1/2023
Tepung Terigu Kemasan,2023,Juli,13748,7/1/2023
Minyak Goreng Kemasan,2023,Juli,17893,7/1/2023
Minyak Goreng Curah,2023,Juli,14847,7/1/2023
Jagung Tk. Peternak,2023,Juli,6239,7/1/2023
Ikan Kembung,2023,Juli,40746,7/1/2023
Ikan Tongkol,2023,Juli,36594,7/1/2023
Ikan Bandeng,2023,Juli,35530,7/1/2023
Garam konsumsi,2023,Juli,12011,7/1/2023
Beras Premium,2023,Agustus,13872,8/1/2023
Beras Medium,2023,Agustus,12187,8/1/2023
Kedelai Biji Kering,2023,Agustus,13063,8/1/2023
Bawang Merah,2023,Agustus,29170,8/1/2023
Bawang Putih (Bonggol),2023,Agustus,39338,8/1/2023
Cabai Merah Keriting,2023,Agustus,42965,8/1/2023
Cabai Rawit Merah,2023,Agustus,46711,8/1/2023
Daging Sapi Murni,2023,Agustus,135807,8/1/2023
Daging Ayam Ras,2023,Agustus,36053,8/1/2023
Telur Ayam Ras,2023,Agustus,30470,8/1/2023
Gula Pasir Lokal/Curah,2023,Agustus,14767,8/1/2023
Tepung Terigu Curah,2023,Agustus,11107,8/1/2023
Tepung Terigu Kemasan,2023,Agustus,13769,8/1/2023
Minyak Goreng Kemasan,2023,Agustus,17780,8/1/2023
Minyak Goreng Curah,2023,Agustus,14738,8/1/2023
Jagung Tk. Peternak,2023,Agustus,6721,8/1/2023
Ikan Kembung,2023,Agustus,40649,8/1/2023
Ikan Tongkol,2023,Agustus,36453,8/1/2023
Ikan Bandeng,2023,Agustus,35270,8/1/2023
Garam konsumsi,2023,Agustus,12052,8/1/2023
Beras Premium,2023,September,14582,9/1/2023
